Rowid_,GRID_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,57,8853556,885355600.000000000000000,0,99,99,51.389882664095644,22.517048973479007,454983204.000000000000000,40,43,70,43
,58,8936887,893688700.000000000000000,0,99,99,53.052208112287872,20.864919837006855,474121589.000000000000000,31,43,79,44
,59,8985263,898526300.000000000000000,0,99,99,60.793232986057284,18.852598548147938,546243187.000000000000000,30,43,29,53
,60,8976896,897689600.000000000000000,0,99,99,61.840705852000511,20.286874116017959,555137585.000000000000000,27,43,93,53
,61,8924982,892498200.000000000000000,0,99,99,55.551791028822244,19.318943739689082,495798735.000000000000000,27,43,93,44
,62,2933468,293346800.000000000000000,0,99,99,52.910815117124166,16.104105824668277,155212183.000000000000000,22,43,0,43
,69,7681555,768155500.000000000000000,12,99,87,50.679901530354208,16.924446473731006,389300451.000000000000000,26,43,30,43
,70,8991866,899186600.000000000000000,12,99,87,45.888415485728991,7.801197920256339,412622483.000000000000000,26,43,30,43
,71,8979017,897901700.000000000000000,12,99,87,46.668728102419230,10.318594759904588,419039303.000000000000000,31,43,90,43
,72,8868060,886806000.000000000000000,12,99,87,46.887606534010821,21.938959212483191,415802108.000000000000000,33,43,29,43
,73,8978211,897821100.000000000000000,0,99,99,43.807255476620007,26.722300251381206,393310783.000000000000000,43,43,93,43
,74,8986576,898657600.000000000000000,0,99,99,57.384200612112998,24.863203279308550,515687480.000000000000000,39,43,75,43
,75,8974152,897415200.000000000000000,0,99,99,56.320227359643560,19.914835580595515,505426281.000000000000000,36,44,23,44
,76,8912931,891293100.000000000000000,0,99,99,62.123147144300795,19.156556946128163,553699324.000000000000000,28,43,93,67
,77,8920275,892027500.000000000000000,0,99,99,54.364236192269857,20.710428674361857,484943937.000000000000000,25,43,0,44
,78,5377724,537772400.000000000000000,33,99,66,54.117953059695886,16.121079281544741,291031415.000000000000000,21,43,68,43
,83,10677,1067700.000000000000000,69,99,30,92.180668727170556,12.572854058498139,984213.000000000000000,2,99,69,99
,84,3553059,355305900.000000000000000,0,99,99,53.976139152206592,27.288744269704218,191780407.000000000000000,26,43,0,44
,85,8711005,871100500.000000000000000,12,99,87,45.113205996323039,19.271803021973337,392981363.000000000000000,30,43,41,43
,86,8923092,892309200.000000000000000,12,99,87,37.324341495078166,19.086492597828663,333048533.000000000000000,27,43,14,43
