Rowid_,GRID_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,83,2680488,268048800.008393883705139,644,1341,697,1028.293931925828474,198.354454499158777,2756329545.000000000000000,698,651,644,1117
,84,8227870,822787000.025765419006348,630,1364,734,921.346697991096107,240.155613895885580,7580720856.000000000000000,735,646,1364,859
,85,9000000,900000000.028183221817017,628,1382,754,845.034996666666643,149.815903413748885,7605314970.000000000000000,755,639,1382,814
,86,9000000,900000000.028183221817017,723,1448,725,992.916793888888833,155.308065107059434,8936251145.000000000000000,726,879,1448,960
,87,9000000,900000000.028183221817017,879,1455,576,998.447285222222263,120.451234870460311,8986025567.000000000000000,577,920,879,945
,88,9000000,900000000.028183221817017,847,1281,434,914.760303666666687,27.992704160607765,8232842733.000000000000000,434,882,1265,910
,89,9000000,900000000.028183221817017,817,1320,503,1005.945371444444390,67.176290814615612,9053508343.000000000000000,503,1000,1316,1003
,90,9000000,900000000.028183221817017,752,1143,391,849.821401222222221,67.958017755481507,7648392611.000000000000000,392,800,752,838
,91,9000000,900000000.028183221817017,744,1036,292,812.642425444444484,59.291290665413143,7313781829.000000000000000,293,760,1036,791
,92,9000000,900000000.028183221817017,693,1102,409,787.097749333333354,55.433823352825499,7083879744.000000000000000,410,747,1102,751
,93,9000000,900000000.028183221817017,747,1134,387,911.448505777777768,64.842077740294428,8203036552.000000000000000,388,906,1131,918
,94,9000000,900000000.028183221817017,578,1044,466,711.922524777777767,121.122658039649849,6407302723.000000000000000,467,580,1041,703
,95,1861172,186117200.005828201770782,577,581,4,579.880439851878236,1.773481937190718,1079257238.000000000000000,5,581,579,581
,98,1966620,196662000.006158411502838,694,1223,529,1000.933915550538472,143.182538831582519,1968456657.000000000000000,530,1101,694,1058
,99,8820516,882051600.027621269226074,646,1301,655,917.142570797445387,210.751854971132985,8089670720.000000000000000,656,660,1300,891
,100,9000000,900000000.028183221817017,650,1352,702,948.018394333333390,157.656794853686307,8532165549.000000000000000,703,800,650,919
,101,9000000,900000000.028183221817017,708,1383,675,961.179802777777809,99.442184903618696,8650618225.000000000000000,674,920,1372,955
,102,9000000,900000000.028183221817017,715,1378,663,923.881076222222191,85.655186334652143,8314929686.000000000000000,662,920,715,919
,103,9000000,900000000.028183221817017,930,1399,469,989.672905222222198,39.378174956378849,8907056147.000000000000000,461,975,1366,980
,104,9000000,900000000.028183221817017,919,1155,236,966.951685444444479,26.466627263474042,8702565169.000000000000000,236,923,1142,967
