"Grid_30km","Both","North","South","Sprop","Nprop","NBprop","SBprop","Bprop"
88,1115,172,974,0.466251795117281,0.150087260034904,0.150087260034904,0.466251795117281,0.493144626271561
89,298,157,1900,0.86442220200182,0.0763247447739426,0.0763247447739426,0.86442220200182,0.126539278131635
90,139,182,1893,0.931594488188976,0.087710843373494,0.087710843373494,0.931594488188976,0.0627822944896116
91,400,142,1379,0.775154581225407,0.0933596318211703,0.0933596318211703,0.775154581225407,0.208224882873503
92,205,12,849,0.80550284629981,0.0139372822299652,0.0139372822299652,0.80550284629981,0.192307692307692
93,846,429,334,0.283050847457627,0.562254259501966,0.562254259501966,0.283050847457627,0.525792417650715
94,458,834,55,0.107212475633528,0.938132733408324,0.938132733408324,0.107212475633528,0.340014847809948
99,78,39,761,0.907032181168057,0.04875,0.04875,0.907032181168057,0.0888382687927107
100,53,39,1694,0.969662278191185,0.0225043277553376,0.0225043277553376,0.969662278191185,0.0296752519596865
101,118,23,1745,0.93666129898014,0.0130090497737557,0.0130090497737557,0.93666129898014,0.0625662778366914
102,572,925,544,0.487455197132616,0.629680054458815,0.629680054458815,0.487455197132616,0.280254777070064
103,262,1683,194,0.425438596491228,0.89664358018114,0.89664358018114,0.425438596491228,0.122487143525012
104,881,717,506,0.364816149963951,0.586263286999182,0.586263286999182,0.364816149963951,0.418726235741445
105,665,632,821,0.552489905787349,0.434962147281487,0.434962147281487,0.552489905787349,0.313975448536355
106,72,66,1984,0.964980544747082,0.0321951219512195,0.0321951219512195,0.964980544747082,0.0339302544769086
107,703,493,704,0.500355366027008,0.411862990810359,0.411862990810359,0.500355366027008,0.37
108,869,274,607,0.411246612466125,0.311010215664018,0.311010215664018,0.411246612466125,0.496571428571429
109,1012,618,360,0.262390670553936,0.631901840490798,0.631901840490798,0.262390670553936,0.508542713567839
110,614,1300,37,0.0568356374807988,0.972326103216156,0.972326103216156,0.0568356374807988,0.314710404920554
111,24,117,0,0,1,1,0,0.170212765957447
113,29,2,83,0.741071428571429,0.0235294117647059,0.0235294117647059,0.741071428571429,0.254385964912281
114,355,15,635,0.641414141414141,0.0230769230769231,0.0230769230769231,0.641414141414141,0.353233830845771
115,346,97,1582,0.820539419087137,0.0577724836212031,0.0577724836212031,0.820539419087137,0.170864197530864
116,23,26,1665,0.986374407582938,0.0153755174452986,0.0153755174452986,0.986374407582938,0.0134189031505251
117,85,111,1255,0.936567164179104,0.0812591508052709,0.0812591508052709,0.936567164179104,0.0585802894555479
118,639,1311,447,0.411602209944751,0.745733788395904,0.745733788395904,0.411602209944751,0.266583229036295
119,1027,1066,215,0.173107890499195,0.83216237314598,0.83216237314598,0.173107890499195,0.444974003466205
120,925,1192,211,0.185739436619718,0.849607982893799,0.849607982893799,0.185739436619718,0.39733676975945
121,816,806,421,0.340339531123686,0.656886715566422,0.656886715566422,0.340339531123686,0.399412628487518
122,376,490,1384,0.786363636363636,0.261472785485592,0.261472785485592,0.786363636363636,0.167111111111111
123,955,1122,149,0.134963768115942,0.882769472856019,0.882769472856019,0.134963768115942,0.429020664869721
124,797,1154,106,0.117386489479513,0.915873015873016,0.915873015873016,0.117386489479513,0.387457462323772
125,409,413,165,0.287456445993031,0.714532871972318,0.714532871972318,0.287456445993031,0.414387031408308
126,557,1304,163,0.226388888888889,0.888888888888889,0.888888888888889,0.226388888888889,0.275197628458498
