"Grid","1000m","1200m","1500m","2000m","2500m","3000m","3750m","4285m","5000m","6000m","7500m","min_scale"
189,0,0,0,0,2,0,-2,0,0,0,0,1000
190,0,0,0,0,0,0,0,0,0,0,0,1000
193,2,2,2,2,2,2,2,2,2,2,2,9999
194,2,2,2,2,2,2,2,2,0,0,0,5000
195,2,2,2,2,2,2,2,2,2,2,0,7500
196,2,2,2,2,0,2,0,0,0,0,0,2500
197,2,2,0,0,0,-2,-2,-2,-2,-2,-2,1500
198,0,-2,0,0,0,0,0,0,0,0,0,1000
199,2,0,0,0,0,0,0,0,0,0,0,1200
200,2,2,0,0,0,-2,-2,-2,-2,0,0,1500
201,2,2,-2,-2,-2,-2,0,0,-2,0,0,1500
202,2,2,0,0,0,0,0,0,0,0,0,1500
203,0,0,0,0,0,0,0,0,0,0,0,1000
204,0,0,2,0,0,0,0,0,0,0,-2,1000
205,0,0,0,0,0,0,0,0,-2,0,0,1000
210,2,0,2,2,-2,-2,-2,-2,-2,-2,-2,1200
211,0,0,0,0,0,0,0,-2,0,0,-2,1000
212,2,0,0,0,0,-2,-2,-2,-2,-2,0,1200
213,2,0,0,0,-2,0,0,-2,-2,0,0,1200
214,0,0,0,0,0,0,0,0,0,0,0,1000
215,0,0,0,0,0,0,0,0,0,0,0,1000
216,2,2,0,0,-2,-2,-2,-2,-2,-2,-2,1500
217,2,0,0,0,0,0,0,0,0,0,0,1200
218,0,0,-2,0,0,0,0,0,0,0,0,1000
226,0,0,0,0,0,0,0,0,0,0,0,1000
227,2,2,0,0,0,-2,-2,-2,-2,0,-2,1500
228,2,2,2,2,2,2,2,2,0,0,0,5000
229,2,2,2,0,-2,-2,-2,-2,-2,-2,-2,2000
230,0,0,0,0,0,0,0,0,0,0,0,1000
231,0,-2,0,0,0,0,-2,0,0,0,0,1000
232,0,0,0,0,0,0,0,0,0,0,0,1000
243,2,0,0,0,0,0,0,-2,0,-2,0,1200
244,2,2,2,0,0,0,-2,0,-2,0,0,2000
245,2,0,0,0,-2,0,-2,0,-2,0,0,1200
246,2,2,0,-2,0,-2,0,0,0,-2,0,1500
261,2,0,0,0,0,0,0,0,0,0,-2,1200
262,0,0,0,0,0,0,0,0,0,0,0,1000
263,2,2,0,0,0,0,0,0,0,0,0,1500
